Source Data Filename: 2021-05-19
g Acquisition Version: 4.041600
g Processing Version: 9.120423
Set	Drp	Time	DOY	Year	Gravity	Sigma	Error	Tide	Load	Baro	Polar	Transfer	Refxo	Tilt	Diffraction	SelfAttract	SysResp	Temp	Ion	Spring	Laser	Pres	Chan5	Chan6	Chan7\Seismic	Chan8	Chan9	Chan10	LaserLock	Accept
1	  1	13:52:24	139	2021	978081393.984	36.356	0.818	 28.279	  0.000	  0.769	 -5.202	 41.790	 -0.026	  0.000	  0.000	  0.000	N/A	 37.332	 -0.060	 -0.079	 -0.053	804.812	  0.001	 -0.145	  0.043	  0.000	  0.000	  0.000	D	0
1	  2	13:57:24	139	2021	978081367.790	41.917	0.943	 28.148	  0.000	  0.769	 -5.202	 41.790	 -0.028	  0.000	  0.000	  0.000	N/A	 37.454	 -0.060	 -0.079	 -0.053	804.812	  0.000	 -0.141	  0.043	  0.000	  0.000	  0.000	D	0
1	  3	14:02:24	139	2021	978081380.826	62.313	1.399	 27.966	  0.000	  0.763	 -5.202	 41.790	 -0.028	  0.000	  0.000	  0.000	N/A	 37.454	 -0.059	 -0.079	 -0.053	804.793	  0.000	 -0.141	  0.044	  0.000	  0.000	  0.000	D	0
1	  4	14:07:24	139	2021	978081394.516	32.767	0.737	 27.731	  0.000	  0.763	 -5.202	 41.790	 -0.026	  0.000	  0.000	  0.000	N/A	 37.576	 -0.059	 -0.080	 -0.051	804.793	  0.000	 -0.140	  0.044	  0.000	  0.000	  0.000	D	0
1	  5	14:12:24	139	2021	978081397.137	38.420	0.864	 27.445	  0.000	  0.766	 -5.202	 41.790	 -0.028	  0.000	  0.000	  0.000	N/A	 37.576	 -0.058	 -0.081	 -0.052	804.803	  0.000	 -0.139	  0.044	  0.000	  0.000	  0.000	D	0
1	  6	14:17:24	139	2021	978081369.866	64.377	1.448	 27.110	  0.000	  0.789	 -5.202	 41.790	 -0.026	  0.000	  0.000	  0.000	N/A	 37.576	 -0.057	 -0.082	 -0.052	804.879	  0.000	 -0.140	  0.044	  0.000	  0.000	  0.000	D	0
1	  7	14:22:24	139	2021	978081377.825	44.567	1.000	 26.725	  0.000	  0.780	 -5.202	 41.790	 -0.028	  0.000	  0.000	  0.000	N/A	 37.454	 -0.057	 -0.083	 -0.052	804.850	  0.000	 -0.137	  0.043	  0.000	  0.000	  0.000	D	0
1	  8	14:27:24	139	2021	978081397.734	40.746	0.915	 26.293	  0.000	  0.777	 -5.202	 41.790	 -0.026	  0.000	  0.000	  0.000	N/A	 37.698	 -0.057	 -0.084	 -0.052	804.841	  0.000	 -0.136	  0.043	  0.000	  0.000	  0.000	D	0
1	  9	14:32:24	139	2021	978081387.411	34.990	0.786	 25.814	  0.000	  0.811	 -5.202	 41.790	 -0.029	  0.000	  0.000	  0.000	N/A	 37.820	 -0.056	 -0.085	 -0.053	804.955	 -0.000	 -0.136	  0.043	  0.000	  0.000	  0.000	D	0
1	 10	14:37:24	139	2021	978081385.033	56.371	1.267	 25.290	  0.000	  0.791	 -5.202	 41.790	 -0.027	  0.000	  0.000	  0.000	N/A	 37.698	 -0.056	 -0.087	 -0.052	804.888	 -0.000	 -0.135	  0.043	  0.000	  0.000	  0.000	D	0
