T,Z
2021-09-15T00:00:00Z,1919875
2021-09-15T00:00:10Z,1919908
2021-09-15T00:00:20Z,1920312
2021-09-15T00:00:30Z,1920257
2021-09-15T00:00:40Z,1920310
2021-09-15T00:00:50Z,1920811
2021-09-15T00:01:00Z,1921189
2021-09-15T00:01:10Z,1921151
2021-09-15T00:01:20Z,1921461
2021-09-15T00:01:30Z,1921981
2021-09-15T00:01:40Z,1921871
2021-09-15T00:01:50Z,1921969
2021-09-15T00:02:00Z,1922401
2021-09-15T00:02:10Z,1922512
2021-09-15T00:02:20Z,1922868
2021-09-15T00:02:30Z,1923114
2021-09-15T00:02:40Z,1922849
2021-09-15T00:02:50Z,1923053
2021-09-15T00:03:00Z,1923373
2021-09-15T00:03:10Z,1923189
2021-09-15T00:03:20Z,1923719
2021-09-15T00:03:30Z,1924422
2021-09-15T00:03:40Z,1924115
2021-09-15T00:03:50Z,1924306
2021-09-15T00:04:00Z,1924903
2021-09-15T00:04:10Z,1924999
2021-09-15T00:04:20Z,1925185
2021-09-15T00:04:30Z,1925144
2021-09-15T00:04:40Z,1925467
2021-09-15T00:04:50Z,1926016
2021-09-15T00:05:00Z,1925763
2021-09-15T00:05:10Z,1926159
2021-09-15T00:05:20Z,1926600
2021-09-15T00:05:30Z,1926274
2021-09-15T00:05:40Z,1926788
2021-09-15T00:05:50Z,1926947
2021-09-15T00:06:00Z,1926645
2021-09-15T00:06:10Z,1927439
2021-09-15T00:06:20Z,1927902
2021-09-15T00:06:30Z,1927832
2021-09-15T00:06:40Z,1928162
2021-09-15T00:06:50Z,1928481
2021-09-15T00:07:00Z,1928682
2021-09-15T00:07:10Z,1928708
2021-09-15T00:07:20Z,1929049
2021-09-15T00:07:30Z,1929363
2021-09-15T00:07:40Z,1929212
2021-09-15T00:07:50Z,1929652
2021-09-15T00:08:00Z,1930014
2021-09-15T00:08:10Z,1930078
2021-09-15T00:08:20Z,1930428
2021-09-15T00:08:30Z,1930582
2021-09-15T00:08:40Z,1930728
2021-09-15T00:08:50Z,1930890
2021-09-15T00:09:00Z,1931528
2021-09-15T00:09:10Z,1931797
2021-09-15T00:09:20Z,1931250
2021-09-15T00:09:30Z,1931772
2021-09-15T00:09:40Z,1931998
2021-09-15T00:09:50Z,1931741
2021-09-15T00:10:00Z,1932660
2021-09-15T00:10:10Z,1933068
2021-09-15T00:10:20Z,1932756
2021-09-15T00:10:30Z,1932940
2021-09-15T00:10:40Z,1933427
2021-09-15T00:10:50Z,1933731
2021-09-15T00:11:00Z,1933871
2021-09-15T00:11:10Z,1934202
2021-09-15T00:11:20Z,1934287
2021-09-15T00:11:30Z,1934204
2021-09-15T00:11:40Z,1934655
2021-09-15T00:11:50Z,1934993
2021-09-15T00:12:00Z,1935120
2021-09-15T00:12:10Z,1935764
2021-09-15T00:12:20Z,1935927
2021-09-15T00:12:30Z,1935696
2021-09-15T00:12:40Z,1935934
2021-09-15T00:12:50Z,1936030
2021-09-15T00:13:00Z,1936346
2021-09-15T00:13:10Z,1936512
2021-09-15T00:13:20Z,1936664
2021-09-15T00:13:30Z,1937441
2021-09-15T00:13:40Z,1937331
2021-09-15T00:13:50Z,1937240
2021-09-15T00:14:00Z,1937864
2021-09-15T00:14:10Z,1937928
2021-09-15T00:14:20Z,1937967
2021-09-15T00:14:30Z,1938159
2021-09-15T00:14:40Z,1938792
2021-09-15T00:14:50Z,1939308
2021-09-15T00:15:00Z,1938841
2021-09-15T00:15:10Z,1938975
2021-09-15T00:15:20Z,1939601
2021-09-15T00:15:30Z,1939655
2021-09-15T00:15:40Z,1939647
2021-09-15T00:15:50Z,1940112
2021-09-15T00:16:00Z,1940764
2021-09-15T00:16:10Z,1940676
2021-09-15T00:16:20Z,1940474
2021-09-15T00:16:30Z,1940782
2021-09-15T00:16:40Z,1941234
2021-09-15T00:16:50Z,1941570
2021-09-15T00:17:00Z,1941404
2021-09-15T00:17:10Z,1941643
2021-09-15T00:17:20Z,1942433
2021-09-15T00:17:30Z,1942580
2021-09-15T00:17:40Z,1942505
2021-09-15T00:17:50Z,1942970
2021-09-15T00:18:00Z,1943387
2021-09-15T00:18:10Z,1943354
2021-09-15T00:18:20Z,1943277
2021-09-15T00:18:30Z,1943249
2021-09-15T00:18:40Z,1943575
2021-09-15T00:18:50Z,1944140
2021-09-15T00:19:00Z,1944250
2021-09-15T00:19:10Z,1944272
2021-09-15T00:19:20Z,1944745
2021-09-15T00:19:30Z,1945379
2021-09-15T00:19:40Z,1945364
2021-09-15T00:19:50Z,1945445
2021-09-15T00:20:00Z,1946186
2021-09-15T00:20:10Z,1945912
2021-09-15T00:20:20Z,1945816
2021-09-15T00:20:30Z,1946705
2021-09-15T00:20:40Z,1946748
2021-09-15T00:20:50Z,1946806
2021-09-15T00:21:00Z,1946832
