T,Z
2021-11-15T00:00:00Z,2184709
2021-11-15T00:00:10Z,2184635
2021-11-15T00:00:20Z,2183989
2021-11-15T00:00:30Z,2183908
2021-11-15T00:00:40Z,2183401
2021-11-15T00:00:50Z,2182895
2021-11-15T00:01:00Z,2183050
2021-11-15T00:01:10Z,2182740
2021-11-15T00:01:20Z,2182593
2021-11-15T00:01:30Z,2182118
2021-11-15T00:01:40Z,2181714
2021-11-15T00:01:50Z,2181614
2021-11-15T00:02:00Z,2181105
2021-11-15T00:02:10Z,2181028
2021-11-15T00:02:20Z,2180987
2021-11-15T00:02:30Z,2180760
2021-11-15T00:02:40Z,2178880
2021-11-15T00:02:50Z,2179071
2021-11-15T00:03:00Z,2182392
2021-11-15T00:03:10Z,2178772
2021-11-15T00:03:20Z,2176813
2021-11-15T00:03:30Z,2180745
2021-11-15T00:03:40Z,2177628
2021-11-15T00:03:50Z,2177101
2021-11-15T00:04:00Z,2179421
2021-11-15T00:04:10Z,2176695
2021-11-15T00:04:20Z,2177150
2021-11-15T00:04:30Z,2177356
2021-11-15T00:04:40Z,2176069
2021-11-15T00:04:50Z,2176364
2021-11-15T00:05:00Z,2175692
2021-11-15T00:05:10Z,2175738
2021-11-15T00:05:20Z,2175688
2021-11-15T00:05:30Z,2175086
2021-11-15T00:05:40Z,2175088
2021-11-15T00:05:50Z,2174444
2021-11-15T00:06:00Z,2174118
2021-11-15T00:06:10Z,2174293
2021-11-15T00:06:20Z,2173595
2021-11-15T00:06:30Z,2173184
2021-11-15T00:06:40Z,2173199
2021-11-15T00:06:50Z,2172957
2021-11-15T00:07:00Z,2172418
2021-11-15T00:07:10Z,2171997
2021-11-15T00:07:20Z,2172124
2021-11-15T00:07:30Z,2171640
2021-11-15T00:07:40Z,2171495
2021-11-15T00:07:50Z,2171678
2021-11-15T00:08:00Z,2170813
2021-11-15T00:08:10Z,2170446
2021-11-15T00:08:20Z,2170611
2021-11-15T00:08:30Z,2170088
2021-11-15T00:08:40Z,2169807
2021-11-15T00:08:50Z,2169975
2021-11-15T00:09:00Z,2168958
2021-11-15T00:09:10Z,2168044
2021-11-15T00:09:20Z,2168464
2021-11-15T00:09:30Z,2168453
2021-11-15T00:09:40Z,2168023
2021-11-15T00:09:50Z,2167873
2021-11-15T00:10:00Z,2167426
2021-11-15T00:10:10Z,2166853
2021-11-15T00:10:20Z,2167188
2021-11-15T00:10:30Z,2167085
2021-11-15T00:10:40Z,2166136
2021-11-15T00:10:50Z,2166039
2021-11-15T00:11:00Z,2165720
2021-11-15T00:11:10Z,2165159
2021-11-15T00:11:20Z,2165108
2021-11-15T00:11:30Z,2164684
2021-11-15T00:11:40Z,2164511
2021-11-15T00:11:50Z,2164358
2021-11-15T00:12:00Z,2163883
2021-11-15T00:12:10Z,2163904
2021-11-15T00:12:20Z,2163013
2021-11-15T00:12:30Z,2162627
2021-11-15T00:12:40Z,2163334
2021-11-15T00:12:50Z,2162194
2021-11-15T00:13:00Z,2162037
2021-11-15T00:13:10Z,2162261
2021-11-15T00:13:20Z,2160934
2021-11-15T00:13:30Z,2161254
2021-11-15T00:13:40Z,2160732
2021-11-15T00:13:50Z,2159778
2021-11-15T00:14:00Z,2160521
2021-11-15T00:14:10Z,2160074
2021-11-15T00:14:20Z,2159768
2021-11-15T00:14:30Z,2159866
2021-11-15T00:14:40Z,2159140
2021-11-15T00:14:50Z,2158773
2021-11-15T00:15:00Z,2158432
2021-11-15T00:15:10Z,2158283
2021-11-15T00:15:20Z,2158003
2021-11-15T00:15:30Z,2157511
2021-11-15T00:15:40Z,2157372
2021-11-15T00:15:50Z,2156954
2021-11-15T00:16:00Z,2156720
2021-11-15T00:16:10Z,2156332
2021-11-15T00:16:20Z,2155768
